state,q0,q1,q2,q3,q4,q5,q6,q7,q8
"-1,0,1,0,-1,1,1,0,-1",-99,0,-99,0,-99,-99,-99,0,-99
"-1,0,1,0,0,0,-1,1,0",-99,-9.932688963923336,-99,1.1285322407887648,-5.42,-8.184642542678,-99,-99,-9.37118
"-1,0,1,0,0,0,-1,1,1",-99,0,-99,0,0,0,-99,-99,-99
"-1,0,1,0,0,1,-1,1,-1",-99,-16.293959622296317,-99,-15.882177358107018,-16.293959622296317,-99,-99,-99,-99
"-1,0,1,0,0,1,-1,1,0",-99,0,-99,0,0,-99,-99,-99,0
"-1,0,1,0,1,0,-1,0,0",-99,-17.959467107910555,-99,4.049840020069228,-99,-19.236959151046108,-99,-19.236959151046108,-19.3132632359415
"-1,0,1,0,1,0,-1,0,1",-99,0,-99,0,-99,0,-99,0,-99
"-1,0,1,0,1,0,-1,1,0",-99,0,-99,0,-99,0,-99,-99,0
"-1,0,1,0,1,0,0,0,0",-99,0,-99,0,-99,0,0,0,0
"-1,0,1,0,1,1,-1,0,0",-99,0,-99,0,-99,-99,-99,0,0
"-1,0,1,0,1,1,-1,1,-1",-99,0,-99,0,-99,-99,-99,-99,-99
"-1,0,1,1,-1,-1,-1,1,1",-99,4.9999999999999964,-99,-99,-99,-99,-99,-99,-99
"-1,0,1,1,-1,-1,0,0,1",-99,4.499999999999974,-99,-99,-99,-99,4.499974837119718,4.49967269205975,-99
"-1,0,1,1,-1,-1,0,1,0",-99,-14.916268343341999,-99,-99,-99,-99,-15.424641509007799,-99,4.442938331341072
"-1,0,1,1,-1,-1,0,1,1",-99,0,-99,-99,-99,-99,0,-99,-99
"-1,0,1,1,-1,-1,1,-1,1",-99,4.9999999999999964,-99,-99,-99,-99,-99,-99,-99
"-1,0,1,1,-1,-1,1,0,0",-99,-19.3132632359415,-99,-99,-99,-99,-99,-19.704382341171307,4.499999679519082
"-1,0,1,1,-1,-1,1,0,1",-99,0,-99,-99,-99,-99,-99,0,-99
"-1,0,1,1,-1,-1,1,1,-1",-99,0,-99,-99,-99,-99,-99,-99,-99
"-1,0,1,1,-1,-1,1,1,0",-99,0,-99,-99,-99,-99,-99,-99,0
"-1,0,1,1,-1,0,-1,1,0",-99,-14.35140927038,-99,-99,-99,-14.916268343341999,-99,-99,3.3512208775742987
"-1,0,1,1,-1,0,-1,1,1",-99,0,-99,-99,-99,0,-99,-99,-99
